City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Mao,ES,39.89,4.27,78.8,88,20,10.29,few clouds
83,Maryborough,AU,-25.53,152.7,73.4,31,6,8.3,clear sky
84,Qaanaaq,GL,77.48,-69.36,40.95,85,100,9.01,overcast clouds
85,Butaritari,KI,3.07,172.79,82.63,74,95,11.92,overcast clouds
86,Broome,US,42.25,-75.83,62.6,59,1,6.93,clear sky
87,Elliot Lake,CA,46.38,-82.63,68.0,88,90,8.05,overcast clouds
88,Dikson,RU,73.51,80.55,46.47,71,0,18.32,clear sky
89,Baghdad,IQ,33.34,44.4,84.2,39,0,9.17,clear sky
90,San Patricio,MX,19.22,-104.7,77.47,84,100,1.81,overcast clouds
91,Keflavik,IS,64.0,-22.56,46.4,87,98,4.7,overcast clouds
92,Beringovskiy,RU,63.05,179.32,53.85,82,67,14.5,broken clouds
93,Longyearbyen,SJ,78.22,15.64,42.8,75,75,4.7,broken clouds
94,Gizo,SB,-8.1,156.84,83.88,71,12,4.72,few clouds
95,Buala,SB,-8.14,159.59,84.97,66,54,0.76,light rain
96,Port Elizabeth,ZA,-33.92,25.57,53.6,87,19,10.29,few clouds
97,Praia Da Vitoria,PT,38.73,-27.07,68.0,94,90,12.93,mist
98,Tasiilaq,GL,65.61,-37.64,41.0,80,14,3.4,few clouds
99,Upernavik,GL,72.79,-56.15,44.58,73,100,2.73,overcast clouds
100,Baykit,RU,61.67,96.37,71.15,43,9,5.7,clear sky
101,Newport,GB,51.59,-3.0,64.0,90,99,5.99,light rain
102,Pa Daet,TH,19.5,99.99,84.0,88,75,2.24,broken clouds
103,Taylor,US,32.3,-99.83,73.0,53,1,4.7,clear sky
104,Mitu,CO,1.2,-70.17,73.27,98,1,2.15,clear sky
105,Roald,NO,62.58,6.13,60.8,93,98,5.82,overcast clouds
106,Radom,PL,51.4,21.15,64.99,93,39,2.66,scattered clouds
107,Colares,PT,38.8,-9.45,69.01,83,53,7.0,broken clouds
108,Hilo,US,19.73,-155.09,80.6,69,90,3.87,overcast clouds
109,Ossora,RU,59.24,163.07,53.38,83,91,4.03,overcast clouds
110,Saldanha,ZA,-33.01,17.94,44.6,87,0,4.7,clear sky
111,Goderich,CA,43.75,-81.72,73.0,63,40,17.29,scattered clouds
112,Gambela,ET,8.25,34.58,72.86,90,82,3.11,broken clouds
113,Cayenne,GF,4.93,-52.33,77.0,100,75,2.24,broken clouds
114,Bethel,US,41.37,-73.41,61.0,87,1,3.18,clear sky
115,Tigil,RU,57.8,158.67,53.6,89,100,7.09,light rain
116,Beloha,MG,-25.17,45.05,66.58,73,83,9.04,broken clouds
117,Hithadhoo,MV,-0.6,73.08,83.46,72,64,8.21,broken clouds
118,Waipawa,NZ,-41.41,175.52,59.0,72,24,20.8,few clouds
119,Ribeira Grande,PT,38.52,-28.7,69.44,79,94,15.05,overcast clouds
120,Verkhoyansk,RU,67.54,133.38,52.88,43,29,10.47,scattered clouds
121,San Andres,CO,12.58,-81.7,80.6,83,90,2.24,overcast clouds
122,Great Yarmouth,GB,52.61,1.73,69.01,89,20,4.0,few clouds
123,Hofn,IS,64.25,-15.21,47.91,60,100,24.79,overcast clouds
124,Nicoya,CR,10.15,-85.45,73.2,96,100,1.39,moderate rain
125,Bandarbeyla,SO,9.49,50.81,81.46,61,0,31.56,clear sky
126,Datong,CN,40.09,113.29,74.89,46,0,6.44,clear sky
